lam,Gavg
6.34E-07,0.04699851
6.34E-07,0.047238396
6.35E-07,0.047494547
6.35E-07,0.047734549
6.36E-07,0.047945692
6.36E-07,0.048176695
6.37E-07,0.048443088
6.37E-07,0.048705919
6.38E-07,0.048922868
6.38E-07,0.049154949
6.39E-07,0.04937315
6.39E-07,0.04958688
6.40E-07,0.049796511
6.40E-07,0.050022291
6.41E-07,0.050244243
6.41E-07,0.05044369
6.42E-07,0.050670337
6.42E-07,0.050930258
6.43E-07,0.051151196
6.43E-07,0.051389274
6.44E-07,0.051599611
6.44E-07,0.05182877
6.45E-07,0.052037442
6.45E-07,0.052267511
6.46E-07,0.052498717
6.46E-07,0.052720487
6.47E-07,0.052955286
6.47E-07,0.05319382
6.48E-07,0.053417216
6.48E-07,0.053665306
6.49E-07,0.053876091
6.49E-07,0.054100986
6.50E-07,0.054311634
6.50E-07,0.054560028
6.51E-07,0.05478752
6.51E-07,0.054988503
6.52E-07,0.05520766
6.52E-07,0.055448222
6.53E-07,0.055705296
6.53E-07,0.055979383
6.54E-07,0.056241127
6.54E-07,0.056476231
6.55E-07,0.056676325
6.55E-07,0.056895587
6.56E-07,0.057130448
6.56E-07,0.057360151
6.57E-07,0.057588686
6.57E-07,0.057772697
6.58E-07,0.057946377
6.58E-07,0.058181967
6.59E-07,0.058426664
6.59E-07,0.058661082
6.60E-07,0.05889519
6.60E-07,0.059126431
6.61E-07,0.05938659
6.61E-07,0.059631383
6.62E-07,0.059877428
6.62E-07,0.060156847
6.63E-07,0.060392562
6.63E-07,0.060663233
6.64E-07,0.060953027
6.64E-07,0.061218774
6.65E-07,0.061497295
6.65E-07,0.061761838
6.66E-07,0.062063671
6.66E-07,0.062373271
6.67E-07,0.062652906
6.67E-07,0.062946022
6.68E-07,0.063261345
6.68E-07,0.063512465
6.69E-07,0.063798384
6.69E-07,0.064102101
6.70E-07,0.064372913
6.70E-07,0.064632561
6.71E-07,0.064885716
6.71E-07,0.065181742
6.72E-07,0.065496259
6.72E-07,0.065785898
6.73E-07,0.066132891
6.73E-07,0.06644568
6.74E-07,0.066730961
6.74E-07,0.067040676
6.75E-07,0.067387077
6.75E-07,0.067757355
6.76E-07,0.068097918
6.76E-07,0.068417039
6.77E-07,0.068751043
6.77E-07,0.069088407
6.78E-07,0.069418191
6.78E-07,0.069768119
6.79E-07,0.070142656
6.79E-07,0.070489581
6.80E-07,0.07080762
